#Generated from excel Sequence Generator on 5/08/2015 3:43:12 PM
&	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	1	1	1	1	1	1	1536	1	1	1	1598	
% 625
! DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, READMINMAX, IMPEDANCE_MP145, IMPEDANCE_MP290, IMPEDANCE_MP580, IMPEDANCE_MP25, IMPEDANCE_CG145, WARMDOWN, COMPLIANCEON_A, COMPLIANCEON_B, COMPLIANCE_OFF, COMPLIANCE_WARMDOWN, 
@ 14_514_PCB1
*	4	4	20	100	4	20	200	50	20	625	0
*	4	5	20	100	5	20	200	50	20	625	0
*	4	6	20	100	1	20	200	50	20	625	0
*	4	7	20	100	4	20	200	50	20	625	0
*	4	8	20	100	1	20	200	50	20	625	0
*	4	9	20	100	1	20	200	50	20	625	0
*	4	10	20	100	5	20	200	50	20	625	0
*	4	11	20	100	1	20	200	50	20	625	0
*	4	12	20	100	1	20	200	50	20	625	0
*	4	13	20	100	23	23	0	50	20	625	0
*	4	14	20	100	23	23	0	50	20	625	0
*	4	15	20	100	23	23	0	50	20	625	0
*	4	16	20	100	23	23	0	50	20	625	0
*	5	0	31	-24	1	20	0	50	20	625	16
*	5	1	20	0	0	31	-24	50	20	625	16
*	5	0	31	-24	1	20	0	50	20	625	0
*	5	1	20	0	0	31	-24	50	20	625	0
*	6	1	20	150	1	20	300	50	20	625	0
*	6	2	20	150	2	20	300	50	20	625	0
*	6	3	20	150	3	20	300	50	20	625	0
*	6	4	20	150	4	20	300	50	20	625	0
*	6	5	20	150	5	20	300	50	20	625	0
*	6	6	20	150	1	20	300	50	20	625	0
*	6	7	20	150	4	20	300	50	20	625	0
*	6	8	20	150	1	20	300	50	20	625	0
*	6	9	20	150	1	20	300	50	20	625	0
*	6	10	20	150	5	20	300	50	20	625	0
*	6	11	20	150	1	20	300	50	20	625	0
*	6	12	20	150	1	20	300	50	20	625	0
*	6	13	20	150	23	23	0	50	20	625	0
*	6	14	20	150	23	23	0	50	20	625	0
*	6	15	20	150	23	23	0	50	20	625	0
*	6	16	20	150	23	23	0	50	20	625	0
*	7	0	31	-24	1	20	0	50	20	625	16
*	7	1	20	0	0	31	-24	50	20	625	16
*	7	0	31	-24	1	20	0	50	20	625	0
*	7	1	20	0	0	31	-24	50	20	625	0
*	8	1	20	200	1	20	400	50	20	625	0
*	8	2	20	200	2	20	400	50	20	625	0
*	8	3	20	200	3	20	400	50	20	625	0
*	8	4	20	200	4	20	400	50	20	625	0
*	8	5	20	200	5	20	400	50	20	625	0
*	8	6	20	200	1	20	400	50	20	625	0
*	8	7	20	200	4	20	400	50	20	625	0
*	8	8	20	200	1	20	400	50	20	625	0
*	8	9	20	200	1	20	400	50	20	625	0
*	8	10	20	200	5	20	400	50	20	625	0
*	8	11	20	200	1	20	400	50	20	625	0
*	8	12	20	200	1	20	400	50	20	625	0
*	8	13	20	200	23	23	0	50	20	625	0
*	8	14	20	200	23	23	0	50	20	625	0
*	8	15	20	200	23	23	0	50	20	625	0
*	8	16	20	200	23	23	0	50	20	625	0
*	9	0	31	-24	1	20	0	50	20	625	16
*	9	1	20	0	0	31	-24	50	20	625	16
*	9	0	31	-24	1	20	0	50	20	625	0
*	9	1	20	0	0	31	-24	50	20	625	0
*	10	1	20	250	1	20	500	50	20	625	0
*	10	2	20	250	2	20	500	50	20	625	0
*	10	3	20	250	3	20	500	50	20	625	0
*	10	4	20	250	4	20	500	50	20	625	0
